Film,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year,Genre_Action,Genre_Animation,Genre_Comedy,Genre_Drama,Genre_Fantasy,Genre_Romance,Genre_Unknown,Lead Studio_20th Century Fox,Lead Studio_CBS,Lead Studio_Disney,Lead Studio_Fox,Lead Studio_Independent,Lead Studio_Lionsgate,Lead Studio_New Line,Lead Studio_Paramount,Lead Studio_Sony,Lead Studio_Summit,Lead Studio_The Weinstein Company,Lead Studio_Universal,Lead Studio_Unknown,Lead Studio_Warner Bros.,Decade_2000s,Decade_2010s,isIndependent_Independent,isIndependent_Major Studio,Critic-Audience Gap Rating_Favored by audience,Critic-Audience Gap Rating_Favored by critics,ROI_Category_Low,ROI_Category_Medium,ROI_Category_High
The Ugly Truth,68.0,5.402631579,14.0,205.3,2009,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
The Twilight Saga: New Moon,78.0,14.1964,27.0,709.82,2009,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
The Time Traveler's Wife,65.0,2.598205128,38.0,101.33,2009,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
The Proposal,74.0,7.8675,43.0,314.7,2009,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
The Invention of Lying,47.0,1.751351351,56.0,32.4,2009,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False
The Heartbreak Kid,41.0,2.129444167,30.0,127.77,2007,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
The Duchess,68.0,3.207850222,60.0,43.31,2008,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
The Curious Case of Benjamin Button,81.0,1.78394375,73.0,285.43,2008,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False
The Back-up Plan,47.0,2.640843137,20.0,55.86,2010,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
Tangled,88.0,1.365692308,89.0,355.01,2010,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False
Something Borrowed,48.0,1.719514286,15.0,60.18,2011,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False
She's Out of My League,60.0,2.4405,57.0,48.81,2010,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
Sex and the City Two,49.0,2.8835,15.0,288.35,2010,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False
